exercise_name,muscle_slug,role
Band Bent-over Hip Extension,gluteus_maximus,primary
Band Bent-over Hip Extension,hamstrings,secondary
Band Bent-over Hip Extension,erector_spinae,secondary
Band Bicycle Crunch,rectus_abdominis,primary
Band Bicycle Crunch,hip_flexors,secondary
Band Bicycle Crunch,obliques,secondary
Band Close-grip Pulldown,latissimus_dorsi,primary
Band Close-grip Pulldown,biceps_brachii,secondary
Band Close-grip Pulldown,forearms,secondary
Band Close-grip Push-up,triceps_brachii,primary
Band Close-grip Push-up,pectoralis_major,secondary
Band Close-grip Push-up,anterior_deltoid,secondary
Band Concentration Curl,biceps_brachii,primary
Band Concentration Curl,forearms,secondary
Band Fixed Back Close Grip Pulldown,latissimus_dorsi,primary
Band Fixed Back Close Grip Pulldown,biceps_brachii,secondary
Band Fixed Back Close Grip Pulldown,forearms,secondary
Band Fixed Back Underhand Pulldown,latissimus_dorsi,primary
Band Fixed Back Underhand Pulldown,biceps_brachii,secondary
Band Fixed Back Underhand Pulldown,rhomboids,secondary
Band Fixed Back Underhand Pulldown,posterior_deltoid,secondary
Band Front Lateral Raise,anterior_deltoid,primary
Band Front Lateral Raise,trapezius,secondary
Band Front Raise,anterior_deltoid,primary
Band Front Raise,triceps_brachii,secondary
Band Front Raise,trapezius,secondary
Band Hip Lift,gluteus_maximus,primary
Band Hip Lift,hamstrings,secondary
Band Hip Lift,quadriceps,secondary
Band Horizontal Pallof Press,rectus_abdominis,primary
Band Horizontal Pallof Press,obliques,secondary
Band Horizontal Pallof Press,gluteus_maximus,secondary
Band Jack Knife Sit-up,rectus_abdominis,primary
Band Jack Knife Sit-up,hip_flexors,secondary
Band Kneeling One Arm Pulldown,latissimus_dorsi,primary
Band Kneeling One Arm Pulldown,biceps_brachii,secondary
Band Kneeling One Arm Pulldown,rhomboids,secondary
Band Kneeling Twisting Crunch,rectus_abdominis,primary
Band Kneeling Twisting Crunch,obliques,secondary
Band Lying Hip Internal Rotation,gluteus_maximus,primary
Band Lying Hip Internal Rotation,hamstrings,secondary
Band Lying Hip Internal Rotation,quadriceps,secondary
Band Lying Straight Leg Raise,rectus_abdominis,primary
Band Lying Straight Leg Raise,hip_flexors,secondary
Band One Arm Overhead Biceps Curl,biceps_brachii,primary
Band One Arm Overhead Biceps Curl,forearms,secondary
Band One Arm Overhead Biceps Curl,anterior_deltoid,secondary
Band One Arm Single Leg Split Squat,quadriceps,primary
Band One Arm Single Leg Split Squat,gluteus_maximus,secondary
Band One Arm Single Leg Split Squat,hamstrings,secondary
Band One Arm Standing Low Row,trapezius,primary
Band One Arm Standing Low Row,biceps_brachii,secondary
Band One Arm Standing Low Row,lateral_deltoid,secondary
Band One Arm Twisting Chest Press,pectoralis_major,primary
Band One Arm Twisting Chest Press,anterior_deltoid,secondary
Band One Arm Twisting Chest Press,triceps_brachii,secondary
Band One Arm Twisting Seated Row,trapezius,primary
Band One Arm Twisting Seated Row,biceps_brachii,secondary
Band One Arm Twisting Seated Row,lateral_deltoid,secondary
Band Pull Through,gluteus_maximus,primary
Band Pull Through,hamstrings,secondary
Band Pull Through,erector_spinae,secondary
Band Push Sit-up,rectus_abdominis,primary
Band Push Sit-up,lateral_deltoid,secondary
Band Push Sit-up,pectoralis_major,secondary
Band Reverse Fly,posterior_deltoid,primary
Band Reverse Fly,trapezius,secondary
Band Reverse Wrist Curl,forearms,primary
Band Seated Hip Internal Rotation,gluteus_maximus,primary
Band Seated Hip Internal Rotation,hamstrings,secondary
Band Seated Hip Internal Rotation,quadriceps,secondary
Band Seated Twist,rectus_abdominis,primary
Band Seated Twist,obliques,secondary
Band Shoulder Press,anterior_deltoid,primary
Band Shoulder Press,triceps_brachii,secondary
Band Shoulder Press,trapezius,secondary
Band Shrug,trapezius,primary
Band Shrug,lateral_deltoid,secondary
Band Side Triceps Extension,triceps_brachii,primary
Band Side Triceps Extension,lateral_deltoid,secondary
Band Single Leg Calf Raise,calves,primary
Band Single Leg Reverse Calf Raise,calves,primary
Band Single Leg Reverse Calf Raise,hamstrings,secondary
Band Single Leg Reverse Calf Raise,gluteus_maximus,secondary
Band Single Leg Split Squat,quadriceps,primary
Band Single Leg Split Squat,gluteus_maximus,secondary
Band Single Leg Split Squat,hamstrings,secondary
Band Squat,gluteus_maximus,primary
Band Squat,quadriceps,secondary
Band Squat,hamstrings,secondary
Band Squat,calves,secondary
Band Squat Row,gluteus_maximus,primary
Band Squat Row,hamstrings,secondary
Band Squat Row,quadriceps,secondary
Band Squat Row,latissimus_dorsi,secondary
Band Standing Crunch,rectus_abdominis,primary
Band Standing Crunch,obliques,secondary
Band Standing Rear Delt Row,posterior_deltoid,primary
Band Standing Rear Delt Row,trapezius,secondary
Band Standing Rear Delt Row,rhomboids,secondary
Band Standing Rear Delt Row,biceps_brachii,secondary
Band Standing Twisting Crunch,rectus_abdominis,primary
Band Standing Twisting Crunch,obliques,secondary
Band Step-up,gluteus_maximus,primary
Band Step-up,quadriceps,secondary
Band Step-up,hamstrings,secondary
