exercise_name,equipment_id,source,confidence
Cable Low Seated Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Low Seated Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Lying Close-grip Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Lying Close-grip Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Lying Extension Pullover (with Rope Attachment),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Lying Extension Pullover (with Rope Attachment),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Lying Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Lying Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Lying Triceps Extension V. 2,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Lying Triceps Extension V. 2,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Middle Fly,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Middle Fly,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Bent Over Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Bent Over Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Lateral Bent-over,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Lateral Bent-over,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Lateral Raise,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Lateral Raise,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable One Arm Straight Back High Row (kneeling),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable One Arm Straight Back High Row (kneeling),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Overhead Triceps Extension (rope Attachment),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Overhead Triceps Extension (rope Attachment),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Preacher Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Preacher Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pull Through (with Rope),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pull Through (with Rope),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pulldown (pro Lat Bar),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pulldown (pro Lat Bar),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pushdown (straight Arm) V. 2,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pushdown (straight Arm) V. 2,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pushdown (with Rope Attachment),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pushdown (with Rope Attachment),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Pushdown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Pushdown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rear Delt Row (stirrups),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rear Delt Row (stirrups),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rear Delt Row (with Rope),e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rear Delt Row (with Rope),bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rear Drive,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rear Drive,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Rear Pulldown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Rear Pulldown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Reverse Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Reverse-grip Pushdown,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse-grip Pushdown,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Reverse-grip Straight Back Seated High Row,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse-grip Straight Back Seated High Row,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Reverse Preacher Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse Preacher Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
Cable Reverse Wrist Curl,e94bec5c-a634-58e9-872f-8f63eee2b625,seed,0.7
Cable Reverse Wrist Curl,bf3d0dde-84e3-510c-a43c-d0b017565431,seed,0.7
